study;n;r;pub;type;z;zexp;nnew;znew;znewexp;disc;disccat;info;ndisc;vz;newvz
Buckley et al.;71;0.06;0;Random;0.060072156;0.060072156;71;0.056427201;0.056427201;-3.64E-03;0;3;0;0.014705882;
Fretz;17;0.25;0;Random;0.255412812;0.255412812;17;0.156808139;0.156808139;-0.098604673;3;3;0;0.071428571;
Garfield & Bergin;38;-0.26;0;Outlier;-0.266108407;-0.266108407;38;-0.038454227;-0.038454227;0.22765418;3;3;0;0.028571429;
Hansen et al.;70;0.69;0;Outlier;0.847955755;0.847955755;70;0.426497592;0.426497592;-0.421458164;3;3;0;0.014925373;
Jones & Zoppel;99;-0.02;0;Outlier;-0.020002667;-0.020002667;99;-0.052455491;-0.052455491;-0.032452823;1;3;0;0.010416667;
Maramarosh et al.;31;0.41;0;Random;0.435611223;0.435611223;31;0.460516094;0.460516094;0.024904871;1;3;0;0.035714286;
Melnick & Pierce;18;0.42;0;Random;0.447692024;0.447692024;18;0.421911045;0.421911045;-0.025780979;1;3;0;0.066666667;
Ritter et al.;37;0.21;0;Random;0.213171347;0.213171347;37;0.207724556;0.207724556;-0.005446791;0;3;0;0.029411765;
Staples et al.;17;0.16;0;Random;0.161386696;0.161386696;17;0.158309385;0.158309385;-0.003077312;0;0;0;0.071428571;
Truax (1966);63;0.38;0;Random;0.40005965;0.40005965;63;0.429671045;0.429671045;0.029611395;1;3;0;0.016666667;
