study;a1;a2;a3;a4;a5;a6;a7;yop;n1;n2;d;n;emotion;control;r;z;zexp;nnew;znew;znewexp;vz;newvz
Ayduk & Kross (2008);Ayduk;Kross;;;;;;2008;39;42;0.74;81;anger;c1;0.34679944;0.361801026;0.361801026;81;0.361801026;0.361801026;0.012820513;
Ayduk et al. (2002);Ayduk;Mischel;Downey;;;;;2002;88;100;0.44;188;negative affect;cont1;0.214443805;0.217824741;0.217824741;138;0.215021122;0.215021122;0.005405405;
Beauregard et al. (2001);Beauregard;Levesque;Bourgouin;;;;;2001;5;5;1.83;10;sexual arousal;cont4;0.675056185;0.819974849;0.819974849;10;0.819974849;0.819974849;0.142857143;
Dillon et al. (2007);Dilon;Ritchey;Johnson;LaBar;;;;2007;18.5;18.5;0.45;37;negative affect;cont4;0.219512195;0.223143551;0.223143551;37;0.766659025;0.766659025;0.029411765;
Dillon et al. (2007);Dilon;Ritchey;Johnson;LaBar;;;;2007;18;18;0.56;36;negative affect;cont4;0.269629926;0.276464691;0.276464691;36;0.767423034;0.767423034;0.03030303;
Goldin et al. (2008);Goldin;Mcrae;Ramel;Gross;;;;2008;8.5;8.5;1.24;17;disgust;cont1;0.526939669;0.585898932;0.585898932;8.5;0.589511694;0.589511694;0.071428571;
Gross (1998a);Gross;;;;;;;1998;40;40;0.51;80;disgust;cont1;0.247092907;0.252314305;0.252314305;60;0.280332604;0.280332604;0.012987013;
Koenigsberg et al. (2009);Koenigsberg;Fan;Ochsner;Liu;Guise;Pizzarello;Siever;2009;8;8;1.74;16;negative affect;cont3;0.656365478;0.786401177;0.786401177;16;1.156728205;1.156728205;0.076923077;
Kross & Ayduk (2008);Kross;Ayduk;;;;;;2008;48;45;-0.15;93;sadness;d4;-0.074751243;-0.074890942;-0.074890942;93;-0.074890942;-0.074890942;0.011111111;
Kross & Ayduk (2008);Kross;Ayduk;;;;;;2008;48;48;0.46;96;sadness;c1;0.224147693;0.228018972;0.228018972;96;0.228018972;0.228018972;0.010752688;
Le´vesque et al. (2003);Levesque;Eugene;Joanette;Paquette;Mensour;Beaudoin;Beauregard;2003;10;10;1.83;20;sadness;cont4;0.675056185;0.819974849;0.819974849;20;1.023668576;1.023668576;0.058823529;
Le´vesque et al. (2004);Levesque;Joanette;Mensour;Beaudoin;Leroux;Bourgouin;Beauregard;2004;7;7;0.79;14;sadness;cont4;0.367378285;0.385388944;0.385388944;14;0.384821687;0.384821687;0.090909091;
Low et al. (2008);Low;Stanton;Bower;;;;;2008;30;26;0.16;56;anxiety;c3;0.079542821;0.079711218;0.079711218;56;0.079711218;0.079711218;0.018867925;
Low et al. (2008);Low;Stanton;Bower;;;;;2008;30;25;0.16;55;anxiety;r1;0.0794171;0.079584698;0.079584698;55;0.079584698;0.079584698;0.019230769;
Menchola (2008);Menchola;;;;;;;2008;41;40;0.14;81;negative affect;cont1;0.069823832;0.069937637;0.069937637;81;0.069937637;0.069937637;0.012820513;
Ochsner et al. (2004);Ochsner;Ray;Cooper;Robertson;Chopra;Gabrieli;Gross;2004;6;6;1.43;12;negative affect;cont4;0.581622873;0.664911745;0.664911745;12;0.664911745;0.664911745;0.111111111;
Pendergrass (2005);Pendergrass;;;;;;;2005;30;30;0.04;60;negative affect;cont3;0.019996001;0.019998667;0.019998667;60;0.019998667;0.019998667;0.01754386;
Ray et al. (2008);Ray;Wilhelm;Gross;;;;;2008;55;61;0.64;116;anger;c3;0.304405584;0.314367985;0.314367985;116;0.315332268;0.315332268;0.008849558;
Ray et al. (2008);Ray;Wilhelm;Gross;;;;;2008;43;34;0.75;77;anger;c3;0.349010774;0.364316876;0.364316876;77;0.364316876;0.364316876;0.013513514;
Richards & Gross (2000);Richard;Gross;;;;;;2000;22;41;0.63;63;negative affect;cont1;0.287640596;0.295992131;0.295992131;42.5;0.116286758;0.116286758;0.016666667;
Rohrmann et al. (2009);Rohrmann;Hopp;Schienle;Hodapp;;;;2009;48;24;0.24;72;disgust;cont1;0.112419885;0.112897106;0.112897106;60;-0.036791915;-0.036791915;0.014492754;
Schmeichel et al. (2008);Schmeichel;Volokhov;Demaree;;;;;2008;35;36;0.48;71;disgust;cont4;0.233351064;0.2377306;0.2377306;71;0.2377306;0.2377306;0.014705882;
Sheppes & Meiran (2007);Sheppes;Meiran;;;;;;2007;30;30;1.33;60;sadness;cont4;0.55373903;0.623757833;0.623757833;60;0.623757833;0.623757833;0.01754386;
Sheppes & Meiran (2007);Sheppes;Meiran;;;;;;2007;40;20;1.75;60;sadness;cont4;0.636363636;0.752038698;0.752038698;60;0.752038698;0.752038698;0.01754386;
Sheppes & Meiran (2008);Sheppes;Meiran;;;;;;2008;23;22;0;45;sadness;d3;0;0;0;45;0;0;0.023809524;
Sheppes et al. (2009);Sheppes;Catran;Meiran;;;;;2009;15;14;1.08;29;sadness;cont5;0.474930092;0.51641723;0.51641723;29;0.51641723;0.51641723;0.038461538;
Shiota & Levenson (2009);Shiota;Levenson;;;;;;2009;34;34;0.39;68;negative affect;cont4;0.191395051;0.193784867;0.193784867;68;0.193784867;0.193784867;0.015384615;
Urry (2001);Urry;;;;;;;2001;20;20;1.64;40;disgust;cont1;0.634079588;0.748209563;0.748209563;40;0.765512306;0.765512306;0.027027027;
Vohs & Schmeichel (2003);Vohs;Schmeichel;;;;;;2003;17;16;-0.15;33;sadness;cont4;-0.074755794;-0.074895518;-0.074895518;33;-0.067086831;-0.067086831;0.033333333;
Winters et al. (2009);Winters;Christoff;Gorzalka;;;;;2009;24.5;24.5;0.67;49;amusement;cont4;0.317649723;0.329030893;0.329030893;49;0.326749678;0.326749678;0.02173913;
Yartz (2004);Yartz;;;;;;;2004;14;14;0.83;28;disgust;cont1;0.383303343;0.403926192;0.403926192;28;0.403926192;0.403926192;0.04;
