"study";"nc";"nt";"n";"r";"pub";"type";"ncnew";"ntnew";"nnew";"effest.exp";"effestnew.exp";"disccat.eff";"info";"vr.o";"vr.c";"z.o";"vz.o";"z.c";"vz.c"
"Bower & King (1967)a";NA;NA;36;0.46;0;"o";18;18;36;0.46;0.391331621;1;1;0.0177592731428571;0.020490603383933;0.497311287572031;0.0303030303030303;0.413371491259238;0.0303030303030303
"Chrysikou & Weisberg (2005)";NA;NA;49;0.33;0;"o";20;29;49;0.33;0.321222131;0;0;0.0165429002083333;0.0167558240057332;0.342828254415394;0.0217391304347826;0.333009257176062;0.0217391304347826
"Cooney & Ladd (1992)";NA;NA;9;0.26;0;"r";4.5;4.5;9;0.26;0.097442526;3;3;0.10867122;0.122637508018702;0.266108406873654;0.166666666666667;0.0977527020934417;0.166666666666667
"Cote? et al. (1998)";NA;NA;24;0.45;0;"o";12;12;24;0.45;0.446808511;0;0;0.0276524456521739;0.0278512860153314;0.484700278594052;0.0476190476190476;0.480705584029235;0.0476190476190476
"DeShon et al. (1995)";NA;NA;77;-0.27;0;"o";35;42;77;-0.27;-0.270759739;0;0;0.0113094001315789;0.0112993790287755;-0.2768638226551;0.0135135135135135;-0.277683483216774;0.0135135135135135
"Dickson et al. (2000)";NA;NA;40;-0.37;0;"o";20;20;40;-0.37;-0.37493649;0;0;0.0191010669230769;0.0189386475466726;-0.388423099718296;0.027027027027027;-0.394154779684584;0.027027027027027
"Fox & Charness (2010)a";NA;NA;30;0.42;0;"o";15;15;30;0.42;0.417771089;0;0;0.02339024;0.0234964238537364;0.447692023527421;0.037037037037037;0.444988786744904;0.037037037037037
"Gilhooly et al. (1999)";NA;NA;40;-0.03;0;"r";20;20;40;-0.03;-0.03;0;2;0.0255948925641026;0.0255948925641026;-0.0300090048631265;0.027027027027027;-0.0300090048631265;0.027027027027027
"Hamel & Elshout (2000)";NA;NA;68;0.08;0;"r";24;44;68;0.08;0.083070504;0;0;0.0147349397014925;0.0147200925747766;0.0801713250375897;0.0153846153846154;0.0832623808619739;0.0153846153846154
"Karahasanovic? et al. (2009)";NA;NA;16;0.12;0;"r";7;9;16;0.12;0.163406417;1;1;0.0647604906666667;0.0631539776172818;0.120581028408444;0.0769230769230769;0.164884579272412;0.0769230769230769
"Laing & Kamhi (2002)";NA;NA;20;0.22;0;"r";10;10;20;0.22;0.21821789;0;0;0.0476601347368421;0.0477383936133806;0.223656109021832;0.0588235294117647;0.221784126944766;0.0588235294117647
"Laing & Kamhi (2002)";NA;NA;20;0.56;0;"o";10;10;20;0.56;0.560723176;0;0;0.0247971031578947;0.0247385784100988;0.632833186665638;0.0588235294117647;0.633887387126714;0.0588235294117647
"McGeorge & Burton (1989)";NA;NA;35;0.33;0;"r";15;20;35;0.33;0.067658704;3;1;0.0233546826470588;0.0291431045554544;0.342828254415394;0.03125;0.0677622289142743;0.03125
"Sachs & Polio (2007)";NA;NA;15;-0.51;0;"o";10;5;15;-0.51;-0.535686391;1;1;0.039103715;0.0363161550468952;-0.562729769352149;0.0833333333333333;-0.598086257474384;0.0833333333333333
"Sanz et al. (2009)";NA;NA;24;0.41;0;"r";13;11;24;0.41;0.40861776;0;0;0.0300894613043478;0.0301713705940897;0.435611223236224;0.0476190476190476;0.433950806982075;0.0476190476190476
"Schooler et al. (1993)";NA;NA;80;-0.38;0;"o";40;40;80;-0.38;-0.367378285;0;0;0.00926647291139241;0.00947192948963353;-0.400059650056057;0.012987012987013;-0.385388943989683;0.012987012987013
"Schweiger (1983)";NA;NA;40;0.05;0;"r";20;20;40;0.05;0.004870596;1;1;0.0255129807692308;0.0256398091064609;0.0500417292784913;0.027027027027027;0.00487063451511951;0.027027027027027
"Short, Evans, et al. (1991)";NA;NA;24;0.17;0;"r";12;12;24;0.17;0.169088532;0;0;0.0410015308695652;0.0410276338289134;0.171666663500579;0.0476190476190476;0.170728219616218;0.0476190476190476
"Van den Haak et al. (2003)";NA;NA;40;-0.33;0;"o";20;20;40;-0.33;-0.330350425;0;0;0.0203604925641026;0.0203499193997528;-0.342828254415394;0.027027027027027;-0.343221555391145;0.027027027027027
"Williams & Davids (1997)";NA;NA;20;-0.13;0;"r";10;10;20;-0.13;-0.130928267;0;0;0.0508676636842105;0.0508426017474809;-0.130739850028878;0.0588235294117647;-0.131684190618812;0.0588235294117647
