study;n;r;pub;type;z;zexp;nnew;znew;znewexp;disc;disccat;info;ndisc;vz;newvz
Bachelor (1991);47;0.49;0;Outlier;0.536060337;0.536060337;47;0.53592605;0.53592605;-1.34E-04;0;3;0;0.022727273;
Conte, Ratto, Clutz, & Karasu (1995);138;0.29;0;Random;0.298566264;0.298566264;138;0.231894668;0.231894668;-0.066671596;2;3;0;0.007407407;
Cramer & Takens (1992);37;0.37;0;Random;0.3884231;0.3884231;37;0.433130033;0.433130033;0.044706933;1;3;0;0.029411765;
Eckert, Abeles, & Graham, Jr. (1988);77;0.35;0;Random;0.365443754;0.365443754;77;0.367934476;0.367934476;0.002490722;0;3;0;0.013513514;
Hayes & Strauss (1998);32;0.31;0;Random;0.320545409;0.320545409;30;0.298566264;0.298566264;-0.021979145;1;3;2;0.034482759;
Henry, Schacht, & Strupp (1990);14;0;0;Random;0;0;14;0;0;0;0;3;0;0.090909091;
Najavits & Strupp (1994);12;0.75;0;Outlier;0.972955075;0.972955075;12;1.16129255;1.16129255;0.188337475;3;3;0;0.111111111;
Quintana & Meara (1990);48;0.02;0;Random;0.020002667;0.020002667;48;0.046724584;0.046724584;0.026721917;1;3;0;0.022222222;
Rabavilas, Boulougouris, & Perissaki (1979);36;0.09;0;Random;0.090244188;0.090244188;36;0.089994921;0.089994921;-0.000249267;0;3;0;0.03030303;
Sells, Davidson, Jewell, Falzer, & Rowe (2006);83;0.33;0;Random;0.342828254;0.342828254;68;0.309519604;0.309519604;-0.03330865;1;1;15;0.0125;
Zuroff & Blatt (2006);191;0.2;0;Random;0.202732554;0.202732554;31;0.204892448;0.204892448;0.002159894;0;0;2;0.005319149;
