"id" "meta" "author" "typestudy" "doi" "year" "journal" "h" "IF" "h5" "typepaper" "typecat" "no" "dv" "nc" "nt" "n" "effest" "efftype" "z" "comm1" "ncnew" "ntnew" "nnew" "mc.1" "mt.1" "sdc.1" "sdt.1" "mc.2" "mt.2" "sdc.2" "sdt.2" "mc.3" "mt.3" "sdc.3" "sdt.3" "mc.4" "mt.4" "sdc.4" "sdt.4" "mc.5" "mt.5" "sdc.5" "sdt.5" "mc.6" "mt.6" "sdc.6" "sdt.6" "mc.7" "mt.7" "sdc.7" "sdt.7" "mc.8" "mt.8" "sdc.8" "sdt.8" "mc.9" "mt.9" "sdc.9" "sdt.9" "mc.10" "mt.10" "sdc.10" "sdt.10" "mc.11" "mt.11" "sdc.11" "sdt.11" "mc.12" "mt.12" "sdc.12" "sdt.12" "mc.13" "mt.13" "sdc.13" "sdt.13" "mc.14" "mt.14" "sdc.14" "sdt.14" "teststat.1" "teststat.2" "teststat.3" "teststat.4" "teststat.5" "cor.1" "cor.2" "cor.3" "cor.4" "cor.5" "cor.6" "cor.7" "cor.8" "cor.9" "cor.10" "cor.11" "cor.12" "cor.13" "cor.14" "int.cor" "rxx.1" "ryy.1" "rxx.2" "ryy.2" "or.a.1" "or.b.1" "or.c.1" "or.d.1" "or.a.2" "or.b.2" "or.c.2" "or.d.2" "or.a.3" "or.b.3" "or.c.3" "or.d.3" "or.a.4" "or.b.4" "or.c.4" "or.d.4" "input" "output" "effestnew" "znew" "disc.eff" "disccat.eff" "disc.z" "disccat.z" "info" "disc.n" "macomm" "comm2" "effest.exp" "effestnew.exp"
1 "Adesope" "Barron" "r" NA 1994 "Journal of Educational Multimedia and Hypermedia" 2 NA NA "article" 0 "0" "No text and partial text (c) vs Full text (t) on retention" "NA" "NA" 101 -0.12 "g" NA "Table 1. Retention. Effect calculated for no text as control first. Then effect calculated for partial text. Mean of both effects is total effect." "62" "39" 101 18.44 17.92 5.81 6.99 18.86 17.92 4.89 6.99 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "smd" "g" -0.121628172614359 NA 0.00162817261435913 0 NA NA 3 0 "Data dependency: treatment group compared twice, but no adjustment to N." "Not clear whether \"full text\" and \"partial text\" should be treatment group or if \"partial text\" and \"no text\" should be control group" -0.12 -0.121628172614359
2 "Adesope" "Craig 2002" "o" "10.1037//0022-0663.94.2.428" 2002 "Journal of Educational Psychology" 142 3.256 54 "article" 0 "2" "Difference effect of spoken only presentation (c) vs spoken-written presentation (t) on learning retention and transfer." "NA" "NA" 48 -0.58 "g" NA "Table 2. Retention and transfer questions. Effect calculated for retention first and then for transfer. Mean is total effect." "24" "24" 48 3.46 2.63 1.61 2.22 1.83 1.13 1.09 0.99 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "smd" "g" -0.541143927051624 NA -0.0388560729483762 0 NA NA 0 0 NA NA -0.58 -0.541143927051624
3 "Adesope" "Craig 2004" "r" NA 2004 "Journal of Educational Multimedia and Hypermedia" 2 NA NA "article" 0 "1" "Difference effect of no printed text (c) vs spoken-written presentation (t) on knowledge transfer." "NA" "NA" 30 -0.29 "g" NA "Table 1. Slowpaced/vicarious talking head condition, with talking head present." "15" "15" 30 3.73 3 2.72 2.16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "smd" "g" -0.289196458570127 NA -0.000803541429873156 0 NA NA 0 0 NA NA -0.29 -0.289196458570127
4 "Adesope" "Diao et al" "r" NA 2007 "American Journal of Psychology" 35 0.761 14 "article" 0 "0" "Listening only (c) vs. listening with text (t) on translation scores" "NA" "NA" 159 0.35 "g" NA "Table 1. After, session 1" "53" "106" 159 8.43 8.87 1.28 1.16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "smd" "g" 0.364586028003325 NA -0.0145860280033249 0 NA NA 3 0 "Data dependency: treatment group compared twice, but no adjustment to N." "Not clear why the translation scores should be chosen and not e.g recall scores or test performance" 0.35 0.364586028003325
5 "Adesope" "Diao Sweller" "o" "10.1016/j.learninstruc.2006.11.007" 2007 "Learning and instruction" 73 3.692 48 "article" 0 "0" "Read only (c) vs. read + listen (t) on translation scores" "NA" "NA" 57 -0.5 "g" NA "Table 2. Session 2, free recall." "29" "28" 57 7.03 5.75 2.37 1.96 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "smd" "g" -0.579540367959476 NA 0.0795403679594765 1 NA NA 1 0 NA "Session 2 chosen because it corresponds to the N reported in the MA: \"twenty-nine in the read only group and twenty-eight in the read listen group for the second session\"" -0.5 -0.579540367959476
6 "Adesope" "Kalyuga" "o" "10.1002/(SICI)1099-0720(199908)13:4351::" 1999 "Applied Cognitive Psychology" 69 1.481 31 "article" 0 "1" "Difference effect of audio presentation (c) vs spoken-written presentation (t) on test performance." "NA" "NA" 23 -1.29 "g" NA "Figure 2. Effect first calculated for fault-finding scores and then for multiple choice scores. Mean is overall score." "11" "12" 23 4.6 2.8 1.1 1.5 3.8 2.2 1.1 1.3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "smd" "g" -1.2926971962356 NA 0.0026971962356046 0 NA NA 0 0 NA NA -1.29 -1.2926971962356
7 "Adesope" "Kalyuga" "r" "10.1002/(SICI)1099-0720(199908)13:4351::" 1999 "Applied Cognitive Psychology" 69 1.481 31 "article" 0 "1" "Difference effect of written presentation (c) vs spoken-written presentation (t) on test performance." "NA" "NA" 23 -0.22 "g" NA "Figure 2. Effect first calculated for fault-finding scores and then for multiple choice scores. Mean is overall score." "11" "12" 23 3.5 2.8 1.5 1.5 2.1 2.2 1 1.3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "smd" "g" -0.183596325320119 NA -0.036403674679881 0 NA NA 0 0 NA "If you take the mean of the fault-finding scores and the multiple choice scores first, you get M= 2.8/2.5 and SD=1.25/1.4. That Hedges g effect = -0.22 and coincides perfectly with the MA. However, since the scales are different, we first estimated the seperate effects, and took the mean of that result." -0.22 -0.183596325320119
8 "Adesope" "Le Bohec" "r" "10.1007/978-0-387-73337-1_5" 2003 "Understanding multimedia documents" NA NA NA "chapter in a book" 1 "1" "Difference effect of no redundancy and partial redundancy (c) vs spoken-written presentation (t) on memory/retention and transfer performance." "NA" "NA" 123 -0.14 "g" NA "Figure 5.4. Mean of retention and transfer effects. Only percentage correct from the figure are given. OR calculated for both effects and for both comparisons. No redundancy vs Total redundancy: Retention ABCD = 0.63 / 0.37 / 0.64 / 0.36, OR = 0.95777. Transfer ABCD = 0.54 / 0.46 / 0.63 / 0.37, OR = 0.689441. Partial redundancy vs Total redundancy:  Retention ABCD = 0.63 / 0.37 / 0.66 / 0.34, OR = 0.87715. Transfer ABCD = 0.54 / 0.46 / 0.67 / 0.33, OR = 0.578196. Mean of 4 effects is total effect" "82" "41" 123 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.63 0.37 0.64 0.36 0.54 0.46 0.63 0.37 0.63 0.37 0.66 0.34 0.54 0.46 0.67 0.33 "OR" "g" -0.13920484127277 NA -0.000795158727229683 0 NA NA 0 0 "Data dependency: treatment group compared twice, but no adjustment to N." NA -0.14 -0.13920484127277
9 "Adesope" "Leahy" "o" "10.1002/acp.877" 2003 "Applied Cognitive Psychology" 69 1.481 31 "article" 0 "2" "Difference effect of works/diagram (c) vs words/diagram/audio (t) on correct test answers" "NA" "NA" 30 -0.94 "g" NA "Table 3. Effect first calculated for low element activity and for high. Mean is total effect." "15" "15" 30 47.14 40.48 5.26 9.98 37.14 20.48 12.13 17.47 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "smd" "g" -0.945089284497386 NA 0.00508928449738599 0 NA NA 0 0 NA NA -0.94 -0.945089284497386
10 "Adesope" "Markham" "o" "10.1111/j.1944-9720.1999.tb01344.x" 1999 "Foreign Language Annals" 29 0.908 21 "article" 0 "1" "Difference effect of caption-less (c) vs captioned videotapes (t) on multiple-choice tests.  Civil rights video." "NA" "NA" 59 0.71 "g" NA "Table 2. Civil rights video." "33" "26" 59 64.1 72.1 11.7 10.2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "smd" "g" 0.713305917444908 NA -0.00330591744490816 0 NA NA 0 0 NA NA 0.71 0.713305917444908
